WT	Climate	NEE	WT	Climate	CH4	WT	Climate	N2O
1.762711864	2	2.203636364	6	2	1.071075	-15.73529412	2	0.3754
1.627906977	2	-0.36	6	2	0.1257825	-15.48699247	2	0.4
1.61	2	-0.53	6	2	0.121275	-15.1	3	-0.7
1.5	3	-3.406569915	6	2	0.211811542	-15	2	-0.035813573
1.3	2	-2.620458	6	2	0.207939051	-15	3	14.36272727
1.2	2	-3.24	6	2	0.17308663	-15	3	10.56363636
1.2	2	-3.43	6	2	0.084019333	-14.7	2	4.27
1.2	2	-5	5.8	2	0.007699084	-14.7	2	22.3019779
1.112181818	2	0.297	5.8	2	0.007601532	-14.55555556	2	0.352474911
1	2	0.610394353	5.714285714	2	0.11816939	-14.19859783	2	0.190909091
1	2	-0.800750577	5.7	1	0.769382254	-13.67875648	1	0.3754
1	2	-1.400530825	5.7	1	0.142775845	-13.625	2	0.883692198
1	2	-2.472103004	5.7	1	0.094140329	-13.17319098	2	0.445454545
0.869565217	2	-1.448275862	5.7	2	0.045	-13	2	-0.078789861
0.8	2	0.813690475	5.5	2	0.013787719	-13	2	-0.207718724
0.530973451	2	-0.059401644	5.5	1	0.011191897	-13	3	2.153208
0.51	2	-0.385636364	5.5	2	0.009844042	-12.5	2	1.601586333
0.5	1	-0.218181818	5.488029466	2	0.23484	-12.5	2	0.019219036
0.491666667	3	-0.812779	5.4	2	0.008610951	-12	2	1.17730147
0.4	2	0.298812452	5.4	2	0.0531533	-11.7	2	0.048796364
0.2	2	0.915275456	5.3	2	0.021222356	-11.6	2	5.942011193
0.177	1	0.052109772	5.2	2	0.34453928	-11.36454545	2	3.3425
0.103	1	1.163784898	5.2	3	0.371424	-10.61272727	2	-4.3925
0.1	2	0.781644125	5.069939499	2	0.03870528	-10.6	2	-0.875
0.097	1	3.265545685	5	2	0.6	-10	1	7.007356805
0.09	1	0.894551079	5	2	0.4725	-10	2	1.489753022
0.09	1	0.008729273	5	2	0.312	-10	3	0.6205
0.083	1	0.907844388	5	2	0.187245	-10	3	-0.324545455
0.076	1	1.036140267	5	2	0.15518585	-10	2	1.368249455
0.067	1	2.16255552	5	2	0.0975	-9.956687166	2	0.572727273
0.053	1	1.406963832	5	2	0.083335952	-9.294187426	2	0.127272727
0.05	1	1.732705153	5	2	0.04125	-9.248554913	3	3.414409091
0	2	0.324545455	5	2	0.03225	-9.248554913	3	3.414409091
